StudentID,PreviousGPA,AssignmentsCompleted,Attendance,SleepHours,Age,StudyHours,InternetHours,Scholarship_No,Scholarship_Sí,Program_Administración,Program_Contador Auditor,Program_Ingeniería Civil,Program_Ingeniería Industrial,Program_Ingeniería Informática,FinalGrade
STU-14277,-0.39092681008365704,0.0,-0.09978176278333932,0.5440925100867715,1.8,0.6412573673870335,-1.0316637881404722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.73
STU-11715,0.48408715863575846,0.39199361924567877,-1.1399907409758168,-0.3480174163266538,1.4,0.4117878192534383,-0.24870466321243528,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.24
STU-14530,0.7479802603130431,0.19944123418148216,-0.035814323254001475,-1.4447397111835254,-0.6,-0.16660117878192546,-0.6908462867012091,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.09
STU-14655,0.6924238178546674,-0.5930411565864595,0.15018330860822954,0.09394529951119004,0.8,-0.7292730844793713,0.2579159470351181,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.62
STU-13555,-1.4187209955636046,-0.8387609912579328,1.3985107533152335e-15,0.0,0.6,-0.932023575638507,0.14738054116292473,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.05
STU-12994,-0.8214892391360673,-1.0658003706619859,-1.089800903806643,1.370726478598294,-0.4,-0.34734774066797636,0.7138744962579162,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.58
STU-10322,-0.19647926147934167,-0.17057547592322253,-0.5180304058597845,0.1430522679376168,0.4,-0.03929273084479372,1.4461715601611977,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.61
STU-10564,0.23408316757306866,1.0623345717266302,-0.46291999641912335,-0.9045630584928273,1.2,0.7591355599214147,-0.7783534830166955,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.25
STU-13999,1.4702140122719252,-1.2626636300186636,-1.2895761380290394,0.3640336258565391,-1.0,-0.3080550098231826,0.2694300518134715,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.52
STU-10173,1.7896635564075856,-0.6806956005335936,0.8931897216028569,-0.16795853209642134,0.4,0.3316306483300589,0.31318364997121484,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.76
STU-14145,1.6091051184178649,0.7354266045467451,1.5043247977216152,0.9369482574981887,0.2,2.052652259332024,0.7345998848589524,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2
STU-13109,-0.4464832525420327,0.14986617981793926,-0.4127301592499508,-0.2743569636870133,0.4,-0.47151277013752463,-0.3937823834196892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.91
STU-12215,0.10908117204172377,1.0623345717266302,1.3567076295769875,-1.7148280375288745,-0.8,0.24833005893909632,-0.9188255613126081,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.99
STU-11673,-1.1826061151155085,-3.1271167615171303,-1.7245547268285426,1.4034644575492463,0.4,-0.8581532416502948,0.8267127230857804,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.57
STU-12193,0.2618613888022571,-0.9062980218401517,0.5005280543381463,0.7487048785302177,-0.4,-0.46051080550098233,-0.1842256764536557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.32
STU-14617,0.1507485038855058,1.0623345717266302,-0.27790647901119037,-1.7803039954307773,0.2,0.176031434184676,0.8313183649971216,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.71
STU-10533,-1.113160562042539,0.0,0.33027625374467523,-0.5198918058191486,-0.4,0.1838899803536346,0.5549798503166382,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.98
STU-14192,-1.9603963095327674,-2.0465242722016415,-0.8142488566033381,1.6080768259926923,-0.2,-0.7779960707269157,0.43983880253310315,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.52
STU-11985,-0.9742694558966007,-0.9314447885462963,-1.7452211303687897,0.33129564690558766,-0.2,-1.7304518664047155,-0.4237190558434082,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.46
STU-13649,1.3591011273551752,1.0623345717266302,-0.5042528034996193,1.2479590575322261,0.4,0.8644400785854621,-1.061600460564191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.11
STU-14038,-0.557596137458784,1.0623345717266302,0.7327790655523605,-0.5526297847701,-0.8,0.24990176817288803,0.4052964881980426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.29
STU-13059,1.0118733619903277,-0.2718810217965494,-2.4921640011806065,0.044838331084762546,0.8,0.1367387033398823,0.7461139896373057,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.58
STU-13506,-0.5714852480733775,0.3826533916119681,1.3985107533152335e-15,0.8387343206453336,0.2,0.0,0.4651698330454809,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
STU-11411,1.5813268971886765,-1.8259512042363122,-0.651869971644247,-2.345034132334689,1.0,0.05186640471512772,0.8175014392630974,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.03
STU-13000,-0.09925548717718521,1.0623345717266302,0.5290673735127749,0.977870731186877,-0.4,0.7795677799607073,-0.4697754749568222,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.38
STU-10378,1.1229862469070777,0.3151163610297492,-0.7542178748911895,-1.1664668901004387,0.0,-0.4180746561886052,-0.7023603914795625,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.89
STU-13326,0.9979842513757329,0.9588735887070623,0.34503797055913854,-0.5362607952946247,-1.0,0.6491159135559924,-0.27864133563615434,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.15
STU-11192,-0.2242574827085301,-1.0966949697581063,0.4001483799997998,0.07757631003571397,1.0,-1.5041257367387035,-0.7944732297063903,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.69
STU-12137,0.5813109329379161,-0.6347129414137854,-1.5621758418694514,-1.4447397111835254,1.0,-0.29233791748526516,1.5014392630972946,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01
STU-10611,1.1368753575216726,1.0623345717266302,0.45624290389475763,-0.5280763005568863,-0.6,0.795284872298625,0.01842256764536559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.26
STU-10420,-1.2242734469592904,-0.8042739969180775,0.2909116755727753,-0.5035228163436732,-0.2,-0.8440078585461691,-0.4812895797351756,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.66
STU-11914,1.3729902379697687,1.0623345717266302,1.5043247977216152,-1.035514974296633,0.4,0.37092337917485263,-0.3937823834196892,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1
STU-12156,0.3174178312606327,-0.23954946460293516,-0.9431678501163132,0.1512367626753552,1.4,0.21689587426326146,-0.14047207829591238,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.04
STU-13582,0.0,1.0623345717266302,0.48182987970649366,-1.346525774330671,0.0,0.8220039292730844,-0.6033390903857225,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.6
STU-12642,0.22019405695847505,0.8633158752237113,0.2023413746859981,1.4853094049266244,0.2,0.2813359528487232,1.2872769142199199,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.92
STU-13706,-0.877045681594443,1.0623345717266302,-0.6558064294614377,-0.2743569636870133,0.0,0.0,-1.0846286701208983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.76
STU-14913,-1.2381625575738842,-0.3494767590612263,1.3985107533152335e-15,-1.158282395362701,-0.4,-0.1964636542239686,-0.6355785837651123,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.12
STU-10549,-0.8214892391360673,1.0623345717266302,1.5043247977216152,-0.5935522584587891,0.6,1.4082514734774068,0.9395509499136446,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.55
STU-10758,-0.05758815533340317,1.0623345717266302,-0.6735204896387923,-1.1255444164117496,-1.0,0.6113948919449904,1.5221646516983307,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2
STU-11896,-0.5992634693025648,-1.6793814782919236,-0.7079644955392063,0.5113545311358201,0.4,-0.08958742632612973,-0.011514104778353443,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.94
STU-12682,0.0,0.25189020474001345,0.8567774867938484,-0.9373010374437787,-0.8,0.19174852652259344,0.23258491652274035,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.91
STU-10071,-1.1409387832717277,-1.0384981668095992,-1.8032838831723437,-0.9945925006079438,1.4,-0.8471512770137526,-0.683937823834197,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.87
STU-12224,-0.6825981329901288,1.0623345717266302,1.2445185817870703,-0.4789693321304595,-1.0,0.07858546168958744,-0.3062751871042027,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.61
STU-13314,-0.6825981329901288,-0.11166019392596897,1.3985107533152335e-15,0.3149266574301116,-1.0,0.4652259332023578,-0.35002878526194586,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.88
STU-11726,-0.7242654648339096,-0.1712939549719699,-0.8299946878720981,-0.3070949426379647,-0.8,-0.7779960707269157,0.8911917098445598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.99
STU-14904,-1.61316854416792,-0.9343187047412849,-0.10667056396342268,0.4786165521848687,1.2,-1.7304518664047155,-1.093839953943581,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.51
STU-14527,-1.3353863318760417,0.0,1.0024264260298814,-0.19251201630963508,-1.0,-0.6585461689587426,-0.27864133563615434,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.38
STU-13050,-0.6270416905317532,0.4106740745131012,-0.40485724361557085,0.044838331084762546,-0.2,0.2231827111984283,1.6188831318365,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09
STU-12544,-1.085382340813352,-1.2784701690910976,-2.044391924475236,0.5931994785131991,0.0,-0.6726915520628683,0.17271157167530227,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.19
STU-10627,-0.04369904471880956,0.5665840280911993,-1.446050336262345,0.34766463638106304,0.4,0.6915520628683696,1.0569948186528502,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.98
STU-10691,-0.2242574827085301,-1.4099518350117985,-3.373930552231183,0.977870731186877,-0.4,-0.744990176817289,-0.8981001727115718,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.65
STU-10450,-1.765948760928452,0.0,0.6038600720393854,-1.051883963772109,0.6,0.1948919449901769,-0.14507772020725387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.93
STU-14977,0.4285307161773828,0.0,0.690462144017568,0.4786165521848687,0.0,0.4086444007858546,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.5
STU-13284,-2.3631805173559908,-0.7640391701882454,-0.7552019893454862,-0.02063762681713957,0.0,-1.2023575638506878,-0.9050086355785838,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.24
STU-13671,0.3590851631044136,-1.9186350015246754,-0.22476429847912377,0.8551033101208104,0.2,-0.26561886051080547,-0.36384571099597013,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.39
STU-13436,-0.4881505843858135,-0.5010758383468434,-1.5228112636975515,0.2330817100527334,0.4,-0.23732809430255403,-0.5342544617156016,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.75
STU-10371,0.3174178312606327,0.2497347675937724,0.4493541027146757,1.493493899664362,-1.0,0.8157170923379176,-0.3822682786413357,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.81
STU-14491,-0.18259015086474806,0.0,0.5241468012412875,1.6326303102059054,-0.4,-0.5831041257367386,-0.27864133563615434,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01
STU-10787,-0.7937110179068801,-1.51269433898262,-0.038766666616894145,1.2725125417454406,-0.2,-0.7308447937131631,-0.6125503742084053,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.54
STU-11541,-0.1270337084063724,-1.7512293831666237,-1.4401456495365597,-0.40530887949081895,-0.6,-1.5937131630648333,-0.9925158318940703,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.94
STU-13577,-0.9603803452820071,1.0623345717266302,-0.9589136813850732,-0.7081351847871195,0.4,-0.5752455795677801,0.24409902130109398,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.54
STU-13293,-0.2103683720939365,0.6908809035244308,-0.1165117085063973,-0.2743569636870133,1.0,-0.020432220039292577,-0.584916522740357,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.05
STU-11502,-0.26592481455231215,0.2418314980575554,-0.2700335633768104,1.8781651523380414,-1.0,0.6003929273084481,-0.5826137017846863,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.38
STU-11248,1.3868793485843625,-0.15764285304577705,-1.6664919740249886,0.32311115216785,-0.2,-0.059724950884086296,-0.29245826137017844,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.95
STU-11483,-1.529833880480356,-1.9344415405971092,-1.4224315893592037,0.7405203837924801,-0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.97
STU-11197,0.553532711708729,-0.9759904895686107,-0.3349851173604462,-1.2564963322155551,0.8,0.0,2.5423143350604493,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.03
STU-12355,0.03963561896875452,0.19153796464526518,-1.412590444816229,-0.4380468584417704,-0.4,-0.9037328094302556,0.5020149683362121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9
STU-13295,0.02574650835416092,-0.48742473642064954,-1.089800903806643,-0.5280763005568863,0.0,-0.46994106090373294,-0.37305699481865295,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.48
STU-11954,0.6368673753962918,-0.38468223244982896,-0.11257525068920801,0.6750444258905772,0.2,-0.8487229862475443,-0.013816925734024092,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.98
STU-10190,0.6368673753962918,-3.063890605227394,-2.1910249781655655,0.2412662047904711,-1.0,-1.5025540275049116,-0.27633851468048365,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.12
STU-14114,1.7896635564075856,1.0623345717266302,1.3985107533152335e-15,0.8141808364321206,0.0,1.777603143418468,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.76
STU-12753,-0.557596137458784,-0.6023813842201702,-0.08305181706028135,1.0924536575152073,0.8,-0.2860510805500983,-0.6217616580310881,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.73
STU-10158,-1.3353863318760417,-1.1089091135868054,-1.1478636566101967,1.1579296154171101,-0.8,0.0,-0.2671272308578009,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.73
STU-13760,-0.5714852480733775,-0.46730732305573447,-0.6587587728243304,0.1430522679376168,-0.4,-0.08015717092337915,0.8819804260218771,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.44
STU-14372,1.0257624726049213,1.0623345717266302,-0.1607968589497859,1.1251916364661594,-1.0,0.5233791748526524,-0.45826137017846863,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.85
STU-12012,-0.029809934104214727,0.8245180065913729,-0.33400100290614965,0.8223653311698583,-0.6,-0.037721021611002006,-0.44905008635578586,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.85
STU-14911,-0.4603723631566263,-1.245420132848736,-0.3556515209006949,-0.5035228163436732,-1.0,-0.16345776031434173,-0.9763960852043756,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.61
STU-10960,0.8452040346152008,-0.683569516728581,0.4769093074350063,0.4622475627093934,-0.2,0.07858546168958744,0.2671272308578009,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.98
STU-10689,0.5813109329379161,0.0,1.3970563222031853,0.34766463638106304,-0.4,0.3646365422396858,0.5826137017846864,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.63
STU-14852,-0.349259478239875,-0.4960464850056139,1.3985107533152335e-15,0.29855766795463623,0.0,0.7104125736738707,-0.4766839378238342,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2
STU-12737,-1.946507198918174,1.0623345717266302,0.8931897216028569,1.5016783944020997,0.2,0.6082514734774069,-0.9073114565342545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.34
STU-13404,-0.6964872436047225,0.5780796928711521,-1.2177357828653201,-1.4365552164457878,1.4,-0.4557956777996072,-0.4697754749568222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.47
STU-11485,-0.5159288056150019,-1.2842180014810733,-1.0130399763714364,0.699597910103791,-0.6,-0.4133595284872298,-0.4743811168681635,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.87
STU-11178,0.5813109329379161,-0.8322946798192106,-1.0907850182609409,0.0,0.6,-0.39764243614931233,2.80944156591825,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.31
STU-14613,-0.7659327966776918,0.0,-1.696999522108212,-0.15158954262094526,-0.8,-0.13673870333988203,1.1076568796776052,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.59
STU-11696,-1.1409387832717277,-2.207463579120969,0.11672341716211497,-0.8718250795418758,1.2,-1.3752455795677803,-0.16119746689694883,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.09
STU-12164,-0.8076001285214738,1.0623345717266302,0.7337631800066585,-0.8145336163777114,0.8,0.9760314341846759,1.658031088082902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.93
STU-11377,0.8729822558443879,-0.5032312754930844,-0.002354431807885521,0.9451327522359263,0.0,0.5548133595284872,0.4928036845135293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
STU-14598,1.4424357910427381,-0.07932863673235374,-0.1253687385950753,0.6423064469396258,-0.8,0.3347740667976426,0.9579735175590102,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.37
STU-14485,-0.16870104025015445,-0.37318656766987723,0.8666186313368229,-0.7654266479512839,0.6,0.6648330058939095,-0.6954519286125505,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.77
STU-11929,-0.7103763542193161,0.0,-2.601400705607631,2.3610503418645745,1.0,-0.14459724950884087,-0.46747265400115146,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.46
STU-14822,1.0535406938341085,1.0623345717266302,1.5043247977216152,0.9042102785472365,0.0,0.7497053045186644,-0.19113413932066786,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.69
STU-12423,0.03963561896875452,1.0623345717266302,1.5043247977216152,-0.929116542706041,-0.2,-0.40392927308447946,0.2394933793897525,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.17
STU-13876,0.10908117204172377,1.0623345717266302,1.5043247977216152,-0.04519111103035332,1.0,1.4632612966601182,0.4099021301093841,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.59
STU-10355,1.7896635564075856,1.0623345717266302,0.9138561251431042,-0.9454855321815171,0.0,1.3862475442043223,0.6102475532527346,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.03
STU-10941,-0.8076001285214738,-0.46012253256826385,-0.7975189108802802,-0.5935522584587891,-0.4,-1.2353634577603145,0.37766263672999445,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.99
STU-10730,0.45630893740657125,1.0623345717266302,0.13345336288517154,-0.3562019110643915,0.2,0.40078585461689603,1.8883131836499714,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.3
STU-10223,1.7896635564075856,1.0623345717266302,1.5043247977216152,0.18397474162630664,0.6,1.4428290766208256,0.7553252734599887,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.85
STU-14173,0.1924158357292866,0.1132237483318429,0.42081478354004703,-0.5280763005568863,0.0,0.028290766208251432,-0.9786989061600462,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.19
STU-10721,0.4007524949481956,1.0623345717266302,0.5999236142221961,-0.8145336163777114,1.6,-0.24990176817288803,-0.44674726540011517,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.42
STU-11340,0.5813109329379161,0.5867014414561155,0.631415276759716,-0.5117073110814109,0.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.25
STU-10781,-0.4881505843858135,-0.3803713581573468,-0.5603473273945786,-0.8963785637550896,0.2,-0.6742632612966603,1.0708117443868739,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.69
STU-14310,-1.3214972212614482,-1.2511679652387118,-1.0051670607370564,0.15942125741309288,-0.2,-1.306090373280943,-1.1836499712147381,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.09
STU-13245,-0.16870104025015445,-0.2294907579204771,-0.5780613875719331,0.003915857396073449,0.4,-0.7607072691552064,-0.2118595279217041,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.43
STU-13712,0.17852672511469303,-0.20075159597059666,-0.33892157517763694,0.2740041837414225,-0.6,-0.08644400785854602,2.5653425446171565,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.85
STU-11966,-0.5992634693025648,0.9552811934633275,0.04193071863550308,0.5850149837754607,-0.2,-0.5390962671905698,-0.8543465745538286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7
STU-13046,-2.029841862605737,-1.3237343491621583,-3.147584227742754,-0.33983292158891615,-0.4,-0.42907662082514747,-0.45365572826712725,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.49
STU-13878,-1.4326101061781995,-1.1017243230993359,-1.1380225120672207,1.04334668908878,0.8,-0.9398821218074657,-1.0316637881404722,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.76
STU-12575,1.7896635564075856,0.25332716283750717,1.3985107533152335e-15,-0.5280763005568863,-0.2,0.3756385068762281,-0.5872193436960277,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.81
STU-14891,-0.8631565709798494,1.0623345717266302,1.3527711717597968,0.7077824048415287,-0.2,-0.8895874263261299,2.1139896373057,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.67
STU-14665,-0.8353783497506609,-0.3803713581573468,-1.1478636566101967,-2.541462006040397,-1.0,-0.7135559921414539,-0.14507772020725387,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.24
STU-10690,-0.7937110179068801,-0.5290965212479765,-1.1252290241613536,-0.42986236370403197,2.2,-0.619253438113949,-0.9971214738054118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.04
STU-10531,-2.1270656369078944,-2.50922477959471,-0.7148532967192882,-1.2810498164287683,-0.6,-1.032612966601179,0.9556706966033391,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.58
STU-13733,0.33130694187522636,-0.7561359006520284,-0.07321067251730673,-0.4462313531795081,-1.0,0.023575638506876287,-0.37305699481865295,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.56
STU-12911,0.3174178312606327,0.9401931334396398,1.3183271658593843,0.8960257838094988,0.8,0.35520628683693517,0.5388601036269433,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.12
STU-12694,0.0,0.36684685253953314,-0.9244696754846606,1.223405573319013,-0.4,0.30648330058939116,-1.1859527921704087,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.92
STU-12843,-0.6131525799171597,0.0,-2.0867088460100294,-0.49533832160593483,0.2,-0.5406679764243615,-0.4260218767990789,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.26
STU-11959,-1.5437229910949508,-1.3517550320632912,-0.8841209828584613,-0.5117073110814109,0.6,-1.001178781925344,-0.8198042602187681,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.91
STU-11479,-0.9326021240528186,0.5076687460939459,-0.2267325273877198,0.9123947732849741,-0.4,0.5972495088408647,0.3108808290155442,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25
STU-13252,0.0,1.0623345717266302,0.6717639693859153,0.9369482574981887,-0.8,0.9053045186640473,0.2256764536557284,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.9
STU-14695,0.6090891541671046,1.0623345717266302,1.5043247977216152,-0.7572421532135463,0.2,0.8550098231827112,0.753022452504318,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.64
STU-11213,-0.5437070268441891,-0.45796709542202274,0.10294581480194966,2.0745930260437486,-1.0,-0.11473477406679773,0.37305699481865295,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.51
STU-12050,-1.2103843363446969,-0.7123086786784614,-0.40092078579838014,0.6259374574641497,0.4,-0.5469548133595287,0.5987334484743814,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.61
STU-12957,-1.3353863318760417,-1.5651433095411509,-1.0386269521831724,-0.3725709005398675,-1.0,-0.2593320235756386,0.15659182498560753,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.36
STU-10954,1.5257704547303008,-1.525626961860066,-1.623190938035898,0.6832289206283149,-1.0,0.19332023575638516,-0.5112262521588946,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.96
STU-14044,-0.6409308011463468,1.0623345717266302,0.40802129563417977,-0.31527943737570235,-1.0,1.7068762278978393,0.02763385146804839,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.69
STU-14633,1.7896635564075856,0.10316504164938485,1.5043247977216152,-0.5608142795078377,0.4,0.9618860510805501,1.4738054116292458,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.16
